teamName,agents,website,facebook,instagram,linkedin,phone,company,network,location,avgHomePrice,latestVolume,latestTransactions,url
"The Edwards Team","5","","","","","903882114-4","CENTURY 21 First Group","CENTURY 21","Lindale, TX","$356,209","$39.90M","112","https://www.realtrends.com/team-profile/theedwardsteam-texas-century21firstgroup/"
"Tyra Properties Group","3","","","","","(713) 621-8001","Keller Williams Realty Houston Metropolitan","Keller Williams","Houston, TX","$994,809","$39.79M","40","https://www.realtrends.com/team-profile/tyrapropertiesgroup-texas-kellerwilliamsrealtyhoustonmetropolitan/"
"The Gaskill Group","2","","","","","(469) 951-7493","Keller Williams Realty Dallas Metro North","Keller Williams","Flower Mound, TX","$661,648","$39.70M","60","https://www.realtrends.com/team-profile/thegaskillgroup-texas-kellerwilliamsrealtydallasmetronorth/"
"Kevin Best Team","2","","","","","(210) 260-5111","Keller Williams Realty","Keller Williams","San Antonio, TX","$1,044,485","$39.69M","38","https://www.realtrends.com/team-profile/kevinbestteam-texas-kellerwilliamsrealty/"
"Trusler Group","2","https://www.truslergroup.com/","https://www.facebook.com/TruslerGroup","https://www.instagram.com/trusler_group/","https://www.linkedin.com/in/alextrusler/","(214) 755-8180","Compass","Compass","Dallas, TX","$1,464,502","$39.54M","27","https://www.realtrends.com/team-profile/truslergroup-texas-compass/"
"Ayres | Ferguson | Smith | Cody | Mallouf Group","5","https://www.ebby.com/bio/ayresfergusonsmithcodymalloufgroup","","","","(214) 681-6497","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Flower Mound, TX","$627,216","$39.51M","63","https://www.realtrends.com/team-profile/ayres-ferguson-smith-cody-malloufgroup-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"Hometown Charm Realty Group","2","","","","","","Compass","Compass","Austin, TX","$1,063,403","$39.35M","37","https://www.realtrends.com/team-profile/hometowncharmrealtygroup-texas-compass/"
"Apex Properties Group","4","https://www.apexrealty.net/","","","","(281) 599-7600","Keller Williams Signature","Keller Williams","Katy, TX","$467,805","$39.30M","84","https://www.realtrends.com/team-profile/apexpropertiesgroup-texas-kellerwilliamssignature/"
"BDW Real Estate Group","4","","","","","","Compass","Compass","Dallas, TX","$3,570,572","$39.28M","11","https://www.realtrends.com/team-profile/bdwrealestategroup-texas-compass/"
"Patek + Jones Group","3","","","","","","Compass","Compass","Austin, TX","$2,880,161","$54.72M","19","https://www.realtrends.com/team-profile/patek-jonesgroup-texas-compass/"
"Andy Allen Team","5","","","","","(512) 201-1753","Keller Williams Realty","Keller Williams","Austin, TX","$939,850","$54.51M","58","https://www.realtrends.com/team-profile/andyallenteam-texas-kellerwilliamsrealty/"
"Bridgette Harrington Group","5","","","","","(214) 502-1884","Compass","Compass","Dallas, TX","$620,162","$51.47M","83","https://www.realtrends.com/team-profile/bridgetteharringtongroup-texas-compass/"
"The B-W Group","3","","","","","","Compass","Compass","Dallas, TX","$901,290","$51.37M","57","https://www.realtrends.com/team-profile/theb-wgroup-texas-compass/"
"Gretchen and Elly Group","5","","","","","","Compass","Compass","Dallas, TX","$1,318,755","$48.79M","37","https://www.realtrends.com/team-profile/gretchenandellygroup-texas-compass/"
"Elevated Realty Group","3","https://www.redfin.com/","","","","","Redfin","Redfin","McKinney, TX","$566,921","$48.76M","86","https://www.realtrends.com/team-profile/elevatedrealtygroup-texas-redfin/"
"Gianna Cerullo Team","2","","","","","","Compass","Compass","Dallas, TX","$2,189,364","$48.17M","22","https://www.realtrends.com/team-profile/giannacerulloteam-texas-compass/"
"Wood Sundby Group","2","","","","","","Compass","Compass","Dallas, TX","$1,980,826","$47.54M","24","https://www.realtrends.com/team-profile/woodsundbygroup-texas-compass/"
"Haven Realty Group","2","https://www.dallashaven.com/","https://www.facebook.com/Dallas.HavenRealtyGroup/","https://www.instagram.com/dallas.haven","","(469) 404-2757","RE/MAX DFW Associates VIII","RE/MAX","Dallas, TX","$604,577","$47.16M","78","https://www.realtrends.com/team-profile/havenrealtygroup-texas-re-maxdfwassociatesviii/"
"The North Texas Team","4","","","","","","Compass","Compass","Argyle, TX","$1,374,191","$46.72M","34","https://www.realtrends.com/team-profile/thenorthtexasteam-texas-compass/"
"Cocotos Scott Group","2","https://www.cocotosscottgroup.com/","https://www.facebook.com/cocotosscottgroup","https://www.instagram.com/cocotosscottgrouprealestate?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==","https://www.linkedin.com/company/43283658/admin/dashboard/","(214) 682-5754","Allie Beth Allman & Associates","LeadingRE, HomeServices of America","Dallas, TX","$897,917","$46.69M","52","https://www.realtrends.com/team-profile/cocotosscottgroup-texas-alliebethallmanassociates/"
"The Long Group","3","","","","","","Compass","Compass","Austin, TX","$1,053,855","$46.37M","44","https://www.realtrends.com/team-profile/thelonggroup-texas-compass/"
"The Sharma Group","5","","","","","","Compass","Compass","Southlake, TX","$632,040","$46.14M","73","https://www.realtrends.com/team-profile/thesharmagroup-texas-compass/"
"Haymann/Savariego Team","2","","","","","(214) 625-9504","Allie Beth Allman & Associates","LeadingRE, HomeServices of America","Dallas, TX","$1,439,330","$46.06M","32","https://www.realtrends.com/team-profile/haymann-savariegoteam-texas-alliebethallmanassociates/"
"Joanie Capalupo Group","2","https://joaniecapalupo.com/","https://www.facebook.com/joaniecapalupocompass/","https://www.instagram.com/joaniecapalupohomes?igsh=MzBwMDFidHgybDB1&utm_source=qr","https://www.linkedin.com/in/joaniecapalupo/","(512) 470-7467","Compass","Compass","Austin, TX","$1,771,192","$46.05M","26","https://www.realtrends.com/team-profile/joaniecapalupogroup-texas-compass/"
"Newcomb Realty Group","5","","","","","(972) 821-1513","Keller Williams Realty Professionals","Keller Williams","Spring, TX","$392,732","$45.56M","116","https://www.realtrends.com/team-profile/newcombrealtygroup-texas-kellerwilliamsrealtyprofessionals/"
"Niche Realty Group","5","","","","","","Compass","Compass","Dallas, TX","$737,936","$45.01M","61","https://www.realtrends.com/team-profile/nicherealtygroup-texas-compass/"
"Hampton International Real Estate","4","","","","","(214) 326-5903","Keller Williams Realty Allen","Keller Williams","Allen, TX","$731,876","$44.35M","60.6","https://www.realtrends.com/team-profile/hamptoninternationalrealestate-texas-kellerwilliamsrealtyallen/"
"The Williamson Group","4","https://www.wgrouprealestate.com/","https://www.facebook.com/schuyler.williamson","https://www.instagram.com/schuylerwilliamson/","https://www.linkedin.com/in/schuylerwilliamson/","(512) 437-1059","Keller Williams Realty","Keller Williams","Austin, TX","$939,573","$44.16M","47","https://www.realtrends.com/team-profile/thewilliamsongroup-texas-kellerwilliamsrealty/"
"The Michelle Musick Jones Team","4","","","","","","Coldwell Banker Apex, Realtors","Coldwell Banker","Allen, TX","$823,094","$43.62M","53","https://www.realtrends.com/team-profile/themichellemusickjonesteam-texas-coldwellbankerapexrealtors/"
"Rise Property Group","5","https://www.therisepropertygroup.com/","","","","(210) 300-2744","Keller Williams Realty","Keller Williams","San Antonio, TX","$563,623","$43.40M","77","https://www.realtrends.com/team-profile/risepropertygroup-texas-kellerwilliamsrealty/"
"Kyla Linn","3","https://www.leadinghouhome.com/","","https://www.instagram.com/kylalinngroup/","https://www.linkedin.com/in/kyla-phung/","(281) 905-2760","Compass","Compass","Houston, TX","$618,876","$43.32M","70","https://www.realtrends.com/team-profile/kylalinn-texas-compass/"
"Spence + Kinney Real Estate Group","5","","","","","","Compass","Compass","Dallas, TX","$721,346","$43.28M","60","https://www.realtrends.com/team-profile/spence-kinneyrealestategroup-texas-compass/"
"The Home Selling Pro Team","4","https://www.thehomesellingpro.com/","","","","(972) 972-8388","Keller Williams Realty","Keller Williams","Frisco, TX","$473,505","$43.09M","91","https://www.realtrends.com/team-profile/thehomesellingproteam-texas-kellerwilliamsrealty/"
"The Collette King Team","5","https://www.thecollettekingteam.com/","","","","(713) 206-7653","RE/MAX Universal","RE/MAX","Cypress, TX","$427,730","$42.77M","100","https://www.realtrends.com/team-profile/thecollettekingteam-texas-re-maxuniversal/"
"Morguloff Hayden Team","2","https://www.ebby.com/bio/morguloffhaydenteam","","","","(214) 533-3217","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Dallas, TX","$1,174,486","$42.28M","36","https://www.realtrends.com/team-profile/morguloffhaydenteam-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"RoPax Group","4","https://www.phyllisbrowning.com/realestate/agent/ropax-group/","","","","(210) 325-9595","Phyllis Browning Company","LeadingRE","San Antonio, TX","$563,697","$42.28M","75","https://www.realtrends.com/team-profile/ropaxgroup-texas-phyllisbrowningcompany/"
"The Zaplac Group","4","","","","","","Coldwell Banker D'Ann Harper, Realtors","Coldwell Banker","Victoria, TX","$332,172","$42.19M","127","https://www.realtrends.com/team-profile/thezaplacgroup-texas-coldwellbankerd-annharperrealtors/"
"The Santiago Team","4","","","","","","Better Homes and Gardens Real Estate Gary Greene","Better Homes and Gardens","Houston, TX","$620,294","$42.18M","68","https://www.realtrends.com/team-profile/thesantiagoteam-texas-betterhomesandgardensrealestategarygreene/"
"The Larkam Group","4","","","","","","Compass","Compass","Austin, TX","$1,551,399","$41.89M","27","https://www.realtrends.com/team-profile/thelarkamgroup-texas-compass/"
"The Driskill Group","3","https://www.driskillgroup.com/","","https://www.instagram.com/driskillgroup","","(512) 658-0773","Kuper Sotheby's International Realty","Sotheby's International Realty","Austin, TX","$804,931","$41.86M","52","https://www.realtrends.com/team-profile/thedriskillgroup-texas-kupersotheby-sinternationalrealty/"
"Slater Real Estate Group","5","https://www.theslaterrealestategroup.com/","https://www.realtrends.com/team-profile/slaterrealestategroup-texas-compass/www.facebook.com/slatersellsdfw","http://www.instagram.com/slater_realestategroup","","(214) 226-7284","Compass","Compass","Dallas, TX","$970,347","$41.72M","43","https://www.realtrends.com/team-profile/slaterrealestategroup-texas-compass/"
"The Thornton Group","2","https://www.redfin.com/","","","","","Redfin","Redfin","Frisco, TX","$578,961","$41.69M","72","https://www.realtrends.com/team-profile/thethorntongroup-texas-redfin/"
"Next Move Group","2","","","","","","Douglas Elliman","Independent/Other","Austin, TX","$920,585","$41.43M","45","https://www.realtrends.com/team-profile/nextmovegroup-texas-douglaselliman/"
"Birdwell Residential Group","3","","","","","","Compass","Compass","Austin, TX","$2,267,677","$40.82M","18","https://www.realtrends.com/team-profile/birdwellresidentialgroup-texas-compass/"
"The Real McCoys®","5","","","","","(214) 649-5146","Keller Williams Realty Legacy","Keller Williams","Plano, TX","$615,732","$40.64M","66","https://www.realtrends.com/team-profile/therealmccoys-texas-kellerwilliamsrealtylegacy/"
"Duncan Realty Group","5","","","","","(806) 577-5595","Keller Williams Realty","Keller Williams","Lubbock, TX","$337,224","$40.47M","120","https://www.realtrends.com/team-profile/duncanrealtygroup-texas-kellerwilliamsrealty/"
"Kimmel Real Estate Group","5","","","","","(325) 439-0787","KW Synergy","Keller Williams","Abilene, TX","$264,403","$40.45M","153","https://www.realtrends.com/team-profile/kimmelrealestategroup-texas-kwsynergy/"
"E-Lit Realty Group","5","https://e-litrealty.kw.com/","https://www.facebook.com/elitrealtytx","https://www.instagram.com/e_litrealty/","https://www.linkedin.com/company/e-lit-realty/","(512) 786-0476","Keller Williams Realty","Keller Williams","Austin, TX","$337,556","$40.34M","119.5","https://www.realtrends.com/team-profile/e-litrealtygroup-texas-kellerwilliamsrealty/"
"Realty Performance Partners Group","4","https://www.realtyperformancepartners.com/","","","","(972) 898-6600","RE/MAX Dallas Suburbs","RE/MAX","Plano, TX","$716,983","$40.15M","56","https://www.realtrends.com/team-profile/realtyperformancepartnersgroup-texas-re-maxdallassuburbs/"
"Triple Star Team","4","https://www.ebby.com/bio/triplestarteam","","","","(972) 880-8464","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Flower Mound, TX","$542,574","$39.07M","72","https://www.realtrends.com/team-profile/triplestarteam-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"Jane Clark Realty Group","2","","","","","(469) 452-1111","Keller Williams Realty","Keller Williams","McKinney, TX","$692,106","$38.83M","56.1","https://www.realtrends.com/team-profile/janeclarkrealtygroup-texas-kellerwilliamsrealty/"
"Enos Group","5","https://www.enos.homes/","","https://www.instagram.com/the_enos_group","","(469) 682-8757","Compass","Compass","Highland Village, TX","$655,024","$38.65M","59","https://www.realtrends.com/team-profile/enosgroup-texas-compass/"
"McClain-Lewis Team","5","","","","","","Coldwell Banker Realty","Coldwell Banker","Waxahachie, TX","$541,289","$38.59M","71.3","https://www.realtrends.com/team-profile/mcclain-lewisteam-texas-coldwellbankerrealty/"
"James Williams Realty Group","4","","https://www.facebook.com/jameswilliamsfrisco","","https://www.linkedin.com/in/james-williams-5ba64733/","","Berkshire Hathaway HomeServices PenFed Realty Texas","Berkshire Hathaway HomeServices","Frisco, TX","$874,279","$38.47M","44","https://www.realtrends.com/team-profile/jameswilliamsrealtygroup-texas-berkshirehathawayhomeservicespenfedrealtytexas/"
"Hersey Home Group","5","","","","","","Compass","Compass","Houston, TX","$523,615","$38.22M","73","https://www.realtrends.com/team-profile/herseyhomegroup-texas-compass/"
"The Scott Toman Team","3","https://www.thescotttomanteam.com/","","","","(806) 787-6571","RE/MAX Lubbock","RE/MAX","Lubbock, TX","$309,496","$38.16M","123.3","https://www.realtrends.com/team-profile/thescotttomanteam-texas-re-maxlubbock/"
"The Impact Group","5","https://theimpactrealtygroup.com/","https://www.facebook.com/profile.php?id=61552650573351","https://www.instagram.com/theimpactgroupsa/","","(210) 563-6499","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$416,464","$37.90M","91","https://www.realtrends.com/team-profile/theimpactgroup-texas-kellerwilliamsrealtyheritage/"
"The Adams Group","5","https://theadamsgrouptx.com/","https://www.facebook.com/theadamsgrouptx","https://www.instagram.com/theadamsgrouptx/","https://www.linkedin.com/in/rdubtx/","(281) 914-6774","Real Broker","Real Brokerage","Missouri City, TX","$415,385","$37.80M","91","https://www.realtrends.com/team-profile/theadamsgroup-texas-realbroker/"
"Sunny Darden Group","5","","","","","","Compass","Compass","Argyle, TX","$587,111","$37.58M","64","https://www.realtrends.com/team-profile/sunnydardengroup-texas-compass/"
"Missy + Ilene Team","2","","","","","","Compass","Compass","Dallas, TX","$3,406,394","$37.47M","11","https://www.realtrends.com/team-profile/missy-ileneteam-texas-compass/"
"Finch Properties Group","5","https://www.finchproperties.com/","","https://www.instagram.com/finchpropertiesgroup/","","(713) 828-8024","Compass","Compass","Houston, TX","$729,442","$37.20M","51","https://www.realtrends.com/team-profile/finchpropertiesgroup-texas-compass/"
"Houston Broker Team","5","","","","","(713) 494-8170","Keller Williams Memorial","Keller Williams","Houston, TX","$432,173","$37.17M","86","https://www.realtrends.com/team-profile/houstonbrokerteam-texas-kellerwilliamsmemorial/"
"Travelstead Property Group","3","","","","","","Compass","Compass","Dallas, TX","$580,733","$37.17M","64","https://www.realtrends.com/team-profile/travelsteadpropertygroup-texas-compass/"
"The Blackman Group","5","","","","","","Compass","Compass","Dallas, TX","$1,233,879","$37.02M","30","https://www.realtrends.com/team-profile/theblackmangroup-texas-compass/"
"Alta Realty Group","3","https://www.daveperrymiller.com/bio/altarealtygroup","","https://www.instagram.com/alta.realty/","","(214) 406-2676","Ebby Halliday Companies - Dave Perry-Miller Real Estate","LeadingRE, HomeServices of America","Dallas, TX","$704,737","$36.65M","52","https://www.realtrends.com/team-profile/altarealtygroup-texas-ebbyhallidaycompanies-daveperry-millerrealestate/"
"Farris McMahon Group","4","","","","","","Compass","Compass","Dallas, TX","$1,009,349","$36.34M","36","https://www.realtrends.com/team-profile/farrismcmahongroup-texas-compass/"
"The Summit Group","4","https://www.compass.com/agents/the-summit-group/","","https://www.instagram.com/thesummitgroupdfw","","","Compass","Compass","Dallas, TX","$770,783","$36.23M","47","https://www.realtrends.com/team-profile/thesummitgroup-texas-compass/"
"Kent Redding Group","4","","https://www.facebook.com/KentReddingTeam","https://www.instagram.com/kentreddinggroup","https://www.linkedin.com/in/kentredding","","Berkshire Hathaway HomeServices Texas Realty","Berkshire Hathaway HomeServices","West Lake Hills, TX","$926,193","$36.12M","39","https://www.realtrends.com/team-profile/kentreddinggroup-texas-berkshirehathawayhomeservicestexasrealty/"
"Kopecky Group","4","","","","","(361) 550-1825","RE/MAX Land & Homes","RE/MAX","Victoria, TX","$288,560","$36.07M","125","https://www.realtrends.com/team-profile/kopeckygroup-texas-re-maxlandhomes/"
"The Kjos Baird Team","2","https://thekjosbairdteam.com/","","","","","Kuper Sotheby's International Realty","Sotheby's International Realty","San Antonio, TX","$1,056,806","$35.93M","34","https://www.realtrends.com/team-profile/thekjosbairdteam-texas-kupersotheby-sinternationalrealty/"
"The Smartt Team","3","","","","","(830) 237-1358","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$411,224","$35.78M","87","https://www.realtrends.com/team-profile/thesmarttteam-texas-kellerwilliamsrealtyheritage/"
"The Assaad Group","5","","","","","","Compass","Compass","Dallas, TX","$714,962","$35.75M","50","https://www.realtrends.com/team-profile/theassaadgroup-texas-compass/"
"Stephanie Panozzo Group","2","","","","","","Compass","Compass","Austin, TX","$1,876,531","$35.65M","19","https://www.realtrends.com/team-profile/stephaniepanozzogroup-texas-compass/"
"Shelle Carrig Team","2","https://www.team-tx.com/","https://www.facebook.com/topdallasrealtors","https://www.instagram.com/dallasrealtors.team","","(214) 450-8782","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Dallas, TX","$1,423,760","$35.59M","25","https://www.realtrends.com/team-profile/shellecarrigteam-texas-briggsfreemansotheby-sinternationalrealty/"
"Graham Group","4","","","","","","Compass","Compass","Dallas, TX","$572,516","$35.50M","62","https://www.realtrends.com/team-profile/grahamgroup-texas-compass/"
"Moore Wallace Group","3","https://bretwallace.remax.com/","","","","(832) 641-3727","RE/MAX Fine Properties","RE/MAX","Sugar Land, TX","$553,013","$35.39M","64","https://www.realtrends.com/team-profile/moorewallacegroup-texas-re-maxfineproperties/"
"Oak Cliff Real Estate Group","3","https://www.daveperrymiller.com/bio/oakcliffrealestategroup","","https://www.instagram.com/oc_real_estate_group/","","(415) 525-9062","Ebby Halliday Companies - Dave Perry-Miller Real Estate","LeadingRE, HomeServices of America","Dallas, TX","$541,367","$35.19M","65","https://www.realtrends.com/team-profile/oakcliffrealestategroup-texas-ebbyhallidaycompanies-daveperry-millerrealestate/"
"The Kinne Group","5","","","","","","Compass","Compass","Houston, TX","$378,210","$35.17M","93","https://www.realtrends.com/team-profile/thekinnegroup-texas-compass/"
"Kim & Erika Real Estate Group","2","","","","","","Compass","Compass","Dallas, TX","$1,849,991","$35.15M","19","https://www.realtrends.com/team-profile/kimerikarealestategroup-texas-compass/"
"The Buehler Group","5","","","","","(972) 355-1600","Keller Williams Realty Dallas Metro North","Keller Williams","Flower Mound, TX","$609,557","$34.74M","57","https://www.realtrends.com/team-profile/thebuehlergroup-texas-kellerwilliamsrealtydallasmetronorth/"
"Nina Bhanot Group","3","https://www.thebhanotgroup.com/","https://www.facebook.com/ninabhanot/","https://www.instagram.com/ninabhanotgroup/","https://www.linkedin.com/in/ninabhanot/","(972) 834-6146","Compass","Compass","Dallas, TX","$620,278","$34.74M","56","https://www.realtrends.com/team-profile/ninabhanotgroup-texas-compass/"
"Hudler Home Team","5","https://www.hudlerhometeam.com/","https://www.facebook.com/hudlerhometeam","https://www.instagram.com/hudlerhometeam/","https://www.linkedin.com/company/hudlerhometeam","(806) 543-1125","Coldwell Banker Apex, Realtors","Coldwell Banker","Rockwall, TX","$343,906","$34.73M","101","https://www.realtrends.com/team-profile/hudlerhometeam-texas-coldwellbankerapexrealtors/"
